;LP;campaign;configuration;dischargeID;plunge;V_limit_failure;V_limit_failure_yn;V_limit_change;R_limit_failure;R_limit_failure_yn;numberOfFailureIndicators;ne;std_ne;Te;std_Te
124;50209;OP22;KJM008+2520;20241009.026;5.0;0.0;False;True;0.0;False;1;1.87e+18;0.0;6.01;0.02
148;50209;OP23;DBM000+2520;20250401.072;3.0;0.0;False;True;0.0;False;1;3.24e+18;2e+16;25.23;0.34
125;50209;OP22;KJM008+2520;20241009.022;3.0;0.0;False;False;0.04530125333467559;True;1;3.72e+18;1e+16;8.03;0.02
108;50209;OP22;KJM008+2520;20241001.058;4.0;0.0;False;False;0.02765903947699271;True;1;3.48e+18;1e+16;7.3;0.03
117;50209;OP22;KJM008+2520;20241009.006;1.0;0.0;False;False;0.02010757552908058;True;1;2.38e+18;2e+16;8.33;0.11
75;50209;OP22;KJM008+2520;20241120.022;10.6;0.0;False;False;0.015081439774783833;True;1;;;;
116;50209;OP22;KJM008+2520;20241009.020;9.0;0.0;False;False;0.01257798349768565;True;1;2.57e+18;2e+16;10.62;0.08
103;50209;OP22;KJM008+2520;20241009.036;3.0;0.0;False;False;0.01005479865265698;True;1;;;;
74;50209;OP22;KJM008+2520;20241120.022;7.1;0.0;False;False;0.010052777079668259;True;1;;;;
115;50209;OP22;KJM008+2520;20241009.020;6.0;0.0;False;False;0.005028916268544128;True;1;2.23e+18;1e+16;10.05;0.06
95;50209;OP22;KJM008+2520;20241017.004;2.0;0.0;False;False;0.00502815768302494;True;1;;;;
76;50209;OP22;KJM008+2520;20241120.022;14.1;0.0;False;False;0.005027904872039821;True;1;;;;
91;50209;OP22;KJM008+2520;20241017.049;5.0;0.0;False;False;0.005026893882270145;True;1;;;;
84;50209;OP22;KJM008+2520;20241001.060;7.0;0.0;False;False;0.0025150905432595573;True;1;2.73e+18;1e+16;6.63;0.04
120;50209;OP22;KJM008+2520;20241017.050;1.0;0.0;False;False;0.002514964036014285;True;1;;;;
105;50209;OP22;KJM008+2520;20241009.029;3.0;0.0;False;False;0.002514331690636629;True;1;2.49e+18;1e+16;6.93;0.03
94;50209;OP22;KJM008+2520;20241017.004;1.0;0.0;False;False;0.0025142052597174032;True;1;;;;
101;50209;OP22;KJM008+2520;20241016.053;14.0;0.0;False;False;0.002513826043237808;True;1;;;;
110;50209;OP22;KJM008+2520;20241009.062;5.4;0.0;False;False;0.002513699663164245;True;1;1.6e+18;0.0;8.3;0.03
104;50209;OP22;KJM008+2520;20241009.035;3.0;0.0;False;False;0.0025134469411350726;True;1;2.2200000000000005e+18;0.0;6.59;0.02
660;50209;OP23;KJM008+2520;20250402.067;4.0;0.5949367088607594;True;False;0.0;False;1;;;;
334;50209;OP23;DBM000+2520;20250409.061;7.0;0.5789473684210527;True;False;0.0;False;1;;;;
657;50209;OP23;KJM008+2520;20250402.066;1.0;0.5724137931034483;True;False;0.0;False;1;;;;
473;50209;OP23;KJM008+2520;20250402.079;8.0;0.5656565656565656;True;False;0.0;False;1;;;;
567;50209;OP23;KJM008+2520;20250402.042;4.0;0.5631067961165048;True;False;0.0;False;1;;;;
653;50209;OP23;KJM008+2520;20250402.059;5.0;0.5575221238938053;True;False;0.0;False;1;;;;
728;50209;OP23;KJM008+2520;20250403.015;1.0;0.5565217391304348;True;False;0.0;False;1;;;;
584;50209;OP23;KJM008+2520;20250402.040;13.0;0.550561797752809;True;False;0.0;False;1;;;;
244;50209;OP23;DBM000+2520;20250409.052;1.0;0.5504587155963303;True;False;0.0;False;1;;;;
332;50209;OP23;DBM000+2520;20250409.061;1.0;0.55;True;False;0.0;False;1;;;;
