;dischargeID;maxNumberOfFailureIndicators;numberOfFailedPlunges;configuration;campaign
586;20250429.070;0;0;AIM000+2520;OP23
585;20250429.069;0;0;AIM000+2520;OP23
584;20250429.068;0;0;AIM000+2520;OP23
583;20250429.067;0;0;AIM000+2520;OP23
582;20250429.066;0;0;AIM000+2520;OP23
581;20250429.065;0;0;AIM000+2520;OP23
580;20250429.064;0;0;AIM000+2520;OP23
579;20250429.063;0;0;AIM000+2520;OP23
578;20250429.062;0;0;AIM000+2520;OP23
577;20250429.061;0;0;AIM000+2520;OP23
576;20250429.060;0;0;FTM004+2520;OP23
575;20250429.057;0;0;FTM004+2520;OP23
574;20250429.056;0;0;FTM004+2520;OP23
573;20250429.055;0;0;FTM004+2520;OP23
572;20250429.054;0;0;FTM004+2520;OP23
571;20250429.053;0;0;FTM004+2520;OP23
570;20250429.051;0;0;FTM004+2520;OP23
569;20250429.050;0;0;FTM004+2520;OP23
568;20250429.049;0;0;FTM004+2520;OP23
567;20250429.048;0;0;FTM004+2520;OP23
566;20250429.045;0;0;FTM004+2520;OP23
565;20250429.044;0;0;FTM004+2520;OP23
564;20250429.043;0;0;FTM004+2520;OP23
563;20250429.041;0;0;FTM004+2520;OP23
562;20250429.040;0;0;FTM004+2520;OP23
561;20250429.039;0;0;FTM004+2520;OP23
560;20250429.038;0;0;FTM004+2520;OP23
559;20250429.035;0;0;FTM004+2520;OP23
558;20250429.034;0;0;FTM004+2520;OP23
557;20250429.033;0;0;FTM004+2520;OP23
556;20250429.032;0;0;FTM004+2520;OP23
555;20250429.031;0;0;FTM004+2520;OP23
554;20250429.030;0;0;FTM004+2520;OP23
553;20250429.028;0;0;FTM004+2520;OP23
552;20250429.027;0;0;FTM004+2520;OP23
551;20250429.026;0;0;FTM004+2520;OP23
550;20250429.025;0;0;FTM004+2520;OP23
549;20250429.023;0;0;FTM004+2520;OP23
548;20250429.022;0;0;FTM004+2520;OP23
547;20250429.020;0;0;FTM004+2520;OP23
546;20250429.019;0;0;FTM004+2520;OP23
545;20250429.018;0;0;FTM004+2520;OP23
544;20250429.017;0;0;FTM004+2520;OP23
543;20250429.016;0;0;FTM004+2520;OP23
542;20250429.014;0;0;FTM004+2520;OP23
541;20250429.012;0;0;FTM004+2520;OP23
540;20250429.011;0;0;FTM004+2520;OP23
539;20250429.010;0;0;FTM004+2520;OP23
538;20250429.009;0;0;FTM004+2520;OP23
537;20250429.008;0;0;FTM004+2520;OP23
536;20250424.077;0;0;EIM000+2614;OP23
535;20250424.075;0;0;EIM000+2614;OP23
534;20250424.074;0;0;EIM000+2614;OP23
533;20250424.073;0;0;EIM000+2614;OP23
532;20250424.071;0;0;EIM000+2614;OP23
531;20250424.070;0;0;EIM000+2614;OP23
530;20250424.069;0;0;EIM000+2614;OP23
529;20250424.068;0;0;EIM000+2614;OP23
528;20250424.067;0;0;EIM000+2614;OP23
527;20250424.066;0;0;EIM000+2614;OP23
526;20250424.064;0;0;EIM000+2614;OP23
525;20250424.063;0;0;EIM000+2614;OP23
524;20250424.062;0;0;EIM000+2614;OP23
523;20250424.058;0;0;EIM000+2614;OP23
522;20250424.056;0;0;EIM000+2614;OP23
521;20250424.055;0;0;EIM000+2614;OP23
520;20250424.053;0;0;EIM000+2614;OP23
518;20250424.048;0;0;EIM000+2614;OP23
517;20250424.044;0;0;KTM000+2520;OP23
516;20250424.042;0;0;KTM000+2590;OP23
515;20250424.041;0;0;KTM000+2520;OP23
514;20250424.039;0;0;KTM000+2590;OP23
513;20250424.037;0;0;KTM000+2590;OP23
512;20250424.036;0;0;KTM000+2590;OP23
511;20250424.034;0;0;KTM000+2590;OP23
510;20250424.033;0;0;KTM000+2590;OP23
509;20250424.031;0;0;KTM000+2590;OP23
508;20250424.030;0;0;KTM000+2590;OP23
507;20250424.029;0;0;KTM000+2590;OP23
506;20250424.026;0;0;KTM000+2590;OP23
505;20250424.025;0;0;KTM000+2590;OP23
504;20250424.024;0;0;KTM000+2590;OP23
503;20250424.023;0;0;KTM000+2590;OP23
502;20250424.022;0;0;KTM000+2590;OP23
501;20250424.021;0;0;KTM000+2590;OP23
500;20250424.020;0;0;KTM000+2590;OP23
499;20250424.019;0;0;KTM000+2590;OP23
498;20250424.018;0;0;KTM000+2590;OP23
497;20250424.017;0;0;KTM000+2590;OP23
496;20250424.016;0;0;KTM000+2590;OP23
495;20250424.015;0;0;KTM000+2590;OP23
494;20250424.014;0;0;KTM000+2590;OP23
493;20250424.013;0;0;KTM000+2520;OP23
492;20250424.011;0;0;KTM000+2520;OP23
491;20250424.006;0;0;KTM000+2520;OP23
490;20250423.063;0;0;FTM004+2520;OP23
489;20250423.062;0;0;FTM004+2520;OP23
488;20250423.061;0;0;FTM004+2520;OP23
487;20250423.060;0;0;FTM004+2520;OP23
486;20250423.059;0;0;FTM004+2520;OP23
