;LP;campaign;configuration;dischargeID;plunge;V_limit_failure;V_limit_failure_yn;V_limit_change;R_limit_failure;R_limit_failure_yn;numberOfFailureIndicators;ne;std_ne;Te;std_Te
1791;50209;OP22;EIM000+2520;20241105.060;2.82;1.0;False;True;0.7638052208835341;False;3;0.0;;13.16;
1349;50209;OP22;EIM000+2520;20241106.022;3.0;1.0;False;True;0.7632862386243652;False;3;;;;
1153;50209;OP22;EIM000+2520;20241106.017;7.0;1.0;False;True;0.7631473102061337;False;3;;;;
1259;50209;OP22;EIM000+2520;20241106.028;29.0;1.0;False;True;0.7630560442322192;False;3;;;;
1368;50209;OP22;EIM000+2520;20241106.024;11.0;1.0;False;True;0.7625863024744243;False;3;;;;
1149;50209;OP22;EIM000+2520;20241106.013;9.0;1.0;False;True;0.7613499397348332;False;3;;;;
1989;50209;OP22;EIM000+2520;20241105.061;10.82;1.0;False;True;0.7612449799196788;False;3;;;;
1342;50209;OP22;EIM000+2520;20241106.025;19.0;1.0;False;True;0.7608006840014082;False;3;;;;
1350;50209;OP22;EIM000+2520;20241106.022;5.0;1.0;False;True;0.7607744531053557;False;3;;;;
1154;50209;OP22;EIM000+2520;20241106.017;9.0;1.0;False;True;0.7607297215800582;False;3;;;;
1338;50209;OP22;EIM000+2520;20241106.025;11.0;1.0;False;True;0.7606498013378263;False;3;;;;
1792;50209;OP22;EIM000+2520;20241105.060;4.82;1.0;False;True;0.7588492242807652;False;3;;;;
1369;50209;OP22;EIM000+2520;20241106.024;13.0;1.0;False;True;0.7581465625786955;False;3;;;;
1795;50209;OP22;EIM000+2520;20241105.060;10.82;1.0;False;True;0.7576108870967742;False;3;;;;
1246;50209;OP22;EIM000+2520;20241106.028;3.0;1.0;False;True;0.7557712618820097;False;3;;;;
1237;50209;OP22;EIM000+2520;20241106.027;15.0;1.0;False;True;0.7557432262604936;False;3;;;;
1155;50209;OP22;EIM000+2520;20241106.017;11.0;1.0;False;True;0.7556326694830015;False;3;;;;
2045;50209;OP22;EIM000+2520;20241105.066;11.8;1.0;False;True;0.7555912951701261;False;3;4.178e+20;;15.03;
2044;50209;OP22;EIM000+2520;20241105.066;9.8;1.0;False;True;0.75554438018607;False;3;0.0;;3.33;
1169;50209;OP22;EIM000+2520;20241106.018;3.0;1.0;False;True;0.7555197907760398;False;3;;;;
1333;50209;OP22;EIM000+2520;20241106.025;1.0;1.0;False;True;0.7532951001106751;False;3;;;;
2051;50209;OP22;EIM000+2520;20241105.068;11.8;1.0;False;True;0.753218020917136;False;3;1.5477e+20;1.30819e+21;196.78;5695.16
1258;50209;OP22;EIM000+2520;20241106.028;27.0;1.0;False;True;0.7530547593905567;False;3;;;;
1965;50209;OP22;EIM000+2520;20241105.064;9.8;1.0;False;True;0.7525695284159613;False;3;;;;
