;LP;campaign;configuration;dischargeID;plunge;V_limit_failure;V_limit_failure_yn;V_limit_change;R_limit_failure;R_limit_failure_yn;numberOfFailureIndicators;Failed;ne;std_ne;Te;std_Te
15;51222;OP22;AIM000+2520;20241211.033;9.0;0.9707602339181286;True;True;0.9471226272973787;True;3;True;7.3305e+20;2.5546700000000003e+21;11.08;74.77
121;51222;OP22;DIR001+2520;20241211.079;9.0;1.0;True;True;0.947090479303928;True;3;True;7.8881e+20;7.78e+18;24.63;3.43
301;51222;OP22;EIM000+2520;20241127.048;10.87;0.9639175257731959;True;True;0.9462176426237748;True;3;True;;;;
267;51222;OP22;EIM000+2520;20241127.043;2.87;0.9727891156462585;True;True;0.944720590450369;True;3;True;;;;
16;51222;OP22;AIM000+2520;20241211.033;13.0;0.9666666666666667;True;True;0.9446787148594378;True;3;True;4.4397e+20;3.0623e+20;41.65;78.88
277;51222;OP22;EIM000+2520;20241127.045;10.87;0.9562043795620438;True;True;0.9445727482678984;True;3;True;;;;
263;51222;OP22;EIM000+2520;20241127.042;6.87;0.9666666666666667;True;True;0.9445699653562284;True;3;True;;;;
108;51222;OP22;DIR001+2520;20241211.080;9.0;1.0;True;True;0.9421994370727784;True;3;True;7.7193e+20;1.021e+19;25.04;3.26
2545;51222;OP23;FTM004+2520;20250429.055;2.7;1.0;True;True;0.9421317244846656;True;3;True;;;;
11;51222;OP22;AIM000+2520;20241211.031;5.0;0.979381443298969;True;True;0.9420006025911419;True;3;True;1e+21;7.804e+19;28.35;10.55
299;51222;OP22;EIM000+2520;20241127.048;6.87;0.9642857142857143;True;True;0.9418085052969825;True;3;True;;;;
10;51222;OP22;AIM000+2520;20241211.031;1.0;0.9757575757575757;True;True;0.9418066592898099;True;3;True;8.262699999999999e+20;2.2633e+20;11.09;7.0
